accessionNumber,cik10,company_name,download_url,filingDate,primaryDocument,saved_path,ticker,actual_trading_date_T0,price_T0,price_T-1,date_T-1,price_T+1,date_T+1,price_T+5,date_T+5,price_T+10,date_T+10
0001090872-25-000036,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000036/a-20250731.htm,2025-08-29,a-20250731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-08-29_0001090872-25-000036.htm",A,2025-08-29,125.18444061279297,124.4870834350586,2025-08-28,124.73613739013672,2025-09-02,127.64509582519531,2025-09-08,125.15454864501953,2025-09-15
0001090872-25-000021,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000021/a-20250430.htm,2025-06-02,a-20250430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-06-02_0001090872-25-000021.htm",A,2025-06-02,110.3972396850586,111.26212310791016,2025-05-30,112.09718322753906,2025-06-03,116.05378723144531,2025-06-09,118.32038879394531,2025-06-16
0001090872-25-000008,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000008/a-20250131.htm,2025-03-03,a-20250131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-03-03_0001090872-25-000008.htm",A,2025-03-03,125.3211669921875,126.89846801757812,2025-02-28,122.07728576660156,2025-03-04,120.92654418945312,2025-03-10,121.51183319091797,2025-03-17
0001090872-24-000033,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000033/a-20240731.htm,2024-08-30,a-20240731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-08-30_0001090872-24-000033.htm",A,2024-08-30,141.2921905517578,140.90664672851562,2024-08-29,137.37730407714844,2024-09-03,136.5172119140625,2024-09-09,136.73468017578125,2024-09-16
0001090872-24-000021,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000021/a-20240430.htm,2024-06-03,a-20240430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-06-03_0001090872-24-000021.htm",A,2024-06-03,129.6627197265625,128.6858367919922,2024-05-31,129.12002563476562,2024-06-04,131.2711944580078,2024-06-10,130.08706665039062,2024-06-17
0001090872-24-000011,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000011/a-20240131.htm,2024-03-05,a-20240131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-03-05_0001090872-24-000011.htm",A,2024-03-05,142.2105255126953,140.74261474609375,2024-03-04,144.0528106689453,2024-03-06,145.64877319335938,2024-03-12,145.20547485351562,2024-03-19
0001090872-23-000015,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000015/a-20230731.htm,2023-08-31,a-20230731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-08-31_0001090872-23-000015.htm",A,2023-08-31,118.83455657958984,120.41484069824219,2023-08-30,119.65906524658203,2023-09-01,111.88529968261719,2023-09-08,113.76985931396484,2023-09-15
0001090872-23-000010,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000010/a-20230430.htm,2023-05-26,a-20230430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-05-26_0001090872-23-000010.htm",A,2023-05-26,117.9712905883789,117.06019592285156,2023-05-25,115.33599090576172,2023-05-30,115.94338989257812,2023-06-05,116.12952423095703,2023-06-12
0001090872-23-000005,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000005/a-20230131.htm,2023-03-03,a-20230131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-03-03_0001090872-23-000005.htm",A,2023-03-03,140.77386474609375,138.56344604492188,2023-03-02,140.0892333984375,2023-03-06,132.74391174316406,2023-03-10,130.25962829589844,2023-03-17
0001090872-22-000017,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000017/a-20220731.htm,2022-09-01,a-20220731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-09-01_0001090872-22-000017.htm",A,2022-09-01,125.6974868774414,125.0345230102539,2022-08-31,124.800537109375,2022-09-02,134.17935180664062,2022-09-09,126.63341522216797,2022-09-16
0001090872-22-000012,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000012/a-20220430.htm,2022-05-31,a-20220430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-05-31_0001090872-22-000012.htm",A,2022-05-31,124.1419448852539,127.05184173583984,2022-05-27,119.79171752929688,2022-06-01,125.44602966308594,2022-06-07,112.90145111083984,2022-06-14
0001090872-22-000007,1090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000007/a-20220131.htm,2022-03-03,a-20220131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-03-03_0001090872-22-000007.htm",A,2022-03-03,133.28515625,129.38876342773438,2022-03-02,130.09805297851562,2022-03-04,130.52561950683594,2022-03-10,132.94509887695312,2022-03-17
