accessionNumber,cik10,company_name,download_url,filingDate,primaryDocument,saved_path,ticker
0001090872-25-000036,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000036/a-20250731.htm,2025-08-29,a-20250731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-08-29_0001090872-25-000036.htm",A
0001090872-25-000021,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000021/a-20250430.htm,2025-06-02,a-20250430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-06-02_0001090872-25-000021.htm",A
0001090872-25-000008,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000008/a-20250131.htm,2025-03-03,a-20250131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2025_10-Q_2025-03-03_0001090872-25-000008.htm",A
0001090872-24-000033,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000033/a-20240731.htm,2024-08-30,a-20240731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-08-30_0001090872-24-000033.htm",A
0001090872-24-000021,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000021/a-20240430.htm,2024-06-03,a-20240430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-06-03_0001090872-24-000021.htm",A
0001090872-24-000011,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000011/a-20240131.htm,2024-03-05,a-20240131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2024_10-Q_2024-03-05_0001090872-24-000011.htm",A
0001090872-23-000015,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000015/a-20230731.htm,2023-08-31,a-20230731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-08-31_0001090872-23-000015.htm",A
0001090872-23-000010,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000010/a-20230430.htm,2023-05-26,a-20230430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-05-26_0001090872-23-000010.htm",A
0001090872-23-000005,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000005/a-20230131.htm,2023-03-03,a-20230131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2023_10-Q_2023-03-03_0001090872-23-000005.htm",A
0001090872-22-000017,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000017/a-20220731.htm,2022-09-01,a-20220731.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-09-01_0001090872-22-000017.htm",A
0001090872-22-000012,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000012/a-20220430.htm,2022-05-31,a-20220430.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-05-31_0001090872-22-000012.htm",A
0001090872-22-000007,0001090872,"AGILENT TECHNOLOGIES, INC.",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000007/a-20220131.htm,2022-03-03,a-20220131.htm,"sec_10q\A\AGILENT TECHNOLOGIES, INC.\2022_10-Q_2022-03-03_0001090872-22-000007.htm",A
0000320193-25-000073,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm,2025-08-01,aapl-20250628.htm,sec_10q\AAPL\Apple Inc.\2025_10-Q_2025-08-01_0000320193-25-000073.htm,AAPL
0000320193-25-000057,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/aapl-20250329.htm,2025-05-02,aapl-20250329.htm,sec_10q\AAPL\Apple Inc.\2025_10-Q_2025-05-02_0000320193-25-000057.htm,AAPL
0000320193-25-000008,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/aapl-20241228.htm,2025-01-31,aapl-20241228.htm,sec_10q\AAPL\Apple Inc.\2025_10-Q_2025-01-31_0000320193-25-000008.htm,AAPL
0000320193-24-000081,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,2024-08-02,aapl-20240629.htm,sec_10q\AAPL\Apple Inc.\2024_10-Q_2024-08-02_0000320193-24-000081.htm,AAPL
0000320193-24-000069,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm,2024-05-03,aapl-20240330.htm,sec_10q\AAPL\Apple Inc.\2024_10-Q_2024-05-03_0000320193-24-000069.htm,AAPL
0000320193-24-000006,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm,2024-02-02,aapl-20231230.htm,sec_10q\AAPL\Apple Inc.\2024_10-Q_2024-02-02_0000320193-24-000006.htm,AAPL
0000320193-23-000077,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,2023-08-04,aapl-20230701.htm,sec_10q\AAPL\Apple Inc.\2023_10-Q_2023-08-04_0000320193-23-000077.htm,AAPL
0000320193-23-000064,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,2023-05-05,aapl-20230401.htm,sec_10q\AAPL\Apple Inc.\2023_10-Q_2023-05-05_0000320193-23-000064.htm,AAPL
0000320193-23-000006,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,2023-02-03,aapl-20221231.htm,sec_10q\AAPL\Apple Inc.\2023_10-Q_2023-02-03_0000320193-23-000006.htm,AAPL
0000320193-22-000070,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,2022-07-29,aapl-20220625.htm,sec_10q\AAPL\Apple Inc.\2022_10-Q_2022-07-29_0000320193-22-000070.htm,AAPL
0000320193-22-000059,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,2022-04-29,aapl-20220326.htm,sec_10q\AAPL\Apple Inc.\2022_10-Q_2022-04-29_0000320193-22-000059.htm,AAPL
0000320193-22-000007,0000320193,Apple Inc.,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,2022-01-28,aapl-20211225.htm,sec_10q\AAPL\Apple Inc.\2022_10-Q_2022-01-28_0000320193-22-000007.htm,AAPL
0001551152-25-000049,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000049/abbv-20250930.htm,2025-11-04,abbv-20250930.htm,sec_10q\ABBV\AbbVie Inc.\2025_10-Q_2025-11-04_0001551152-25-000049.htm,ABBV
0001551152-25-000040,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000040/abbv-20250630.htm,2025-08-04,abbv-20250630.htm,sec_10q\ABBV\AbbVie Inc.\2025_10-Q_2025-08-04_0001551152-25-000040.htm,ABBV
0001551152-25-000029,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000029/abbv-20250331.htm,2025-05-09,abbv-20250331.htm,sec_10q\ABBV\AbbVie Inc.\2025_10-Q_2025-05-09_0001551152-25-000029.htm,ABBV
0001551152-24-000040,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000040/abbv-20240930.htm,2024-11-04,abbv-20240930.htm,sec_10q\ABBV\AbbVie Inc.\2024_10-Q_2024-11-04_0001551152-24-000040.htm,ABBV
0001551152-24-000031,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000031/abbv-20240630.htm,2024-08-07,abbv-20240630.htm,sec_10q\ABBV\AbbVie Inc.\2024_10-Q_2024-08-07_0001551152-24-000031.htm,ABBV
0001551152-24-000020,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/abbv-20240331.htm,2024-05-03,abbv-20240331.htm,sec_10q\ABBV\AbbVie Inc.\2024_10-Q_2024-05-03_0001551152-24-000020.htm,ABBV
0001551152-23-000045,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000045/abbv-20230930.htm,2023-11-06,abbv-20230930.htm,sec_10q\ABBV\AbbVie Inc.\2023_10-Q_2023-11-06_0001551152-23-000045.htm,ABBV
0001551152-23-000033,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000033/abbv-20230630.htm,2023-08-07,abbv-20230630.htm,sec_10q\ABBV\AbbVie Inc.\2023_10-Q_2023-08-07_0001551152-23-000033.htm,ABBV
0001551152-23-000023,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000023/abbv-20230331.htm,2023-05-05,abbv-20230331.htm,sec_10q\ABBV\AbbVie Inc.\2023_10-Q_2023-05-05_0001551152-23-000023.htm,ABBV
0001551152-22-000045,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000045/abbv-20220930.htm,2022-11-04,abbv-20220930.htm,sec_10q\ABBV\AbbVie Inc.\2022_10-Q_2022-11-04_0001551152-22-000045.htm,ABBV
0001551152-22-000030,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000030/abbv-20220630.htm,2022-08-04,abbv-20220630.htm,sec_10q\ABBV\AbbVie Inc.\2022_10-Q_2022-08-04_0001551152-22-000030.htm,ABBV
0001551152-22-000017,0001551152,AbbVie Inc.,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000017/abbv-20220331.htm,2022-05-06,abbv-20220331.htm,sec_10q\ABBV\AbbVie Inc.\2022_10-Q_2022-05-06_0001551152-22-000017.htm,ABBV
0001559720-25-000030,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972025000030/abnb-20250930.htm,2025-11-06,abnb-20250930.htm,"sec_10q\ABNB\Airbnb, Inc.\2025_10-Q_2025-11-06_0001559720-25-000030.htm",ABNB
0001559720-25-000025,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972025000025/abnb-20250630.htm,2025-08-06,abnb-20250630.htm,"sec_10q\ABNB\Airbnb, Inc.\2025_10-Q_2025-08-06_0001559720-25-000025.htm",ABNB
0001559720-25-000017,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972025000017/abnb-20250331.htm,2025-05-01,abnb-20250331.htm,"sec_10q\ABNB\Airbnb, Inc.\2025_10-Q_2025-05-01_0001559720-25-000017.htm",ABNB
0001559720-24-000032,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972024000032/abnb-20240930.htm,2024-11-07,abnb-20240930.htm,"sec_10q\ABNB\Airbnb, Inc.\2024_10-Q_2024-11-07_0001559720-24-000032.htm",ABNB
0001559720-24-000024,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972024000024/abnb-20240630.htm,2024-08-06,abnb-20240630.htm,"sec_10q\ABNB\Airbnb, Inc.\2024_10-Q_2024-08-06_0001559720-24-000024.htm",ABNB
0001559720-24-000017,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972024000017/abnb-20240331.htm,2024-05-08,abnb-20240331.htm,"sec_10q\ABNB\Airbnb, Inc.\2024_10-Q_2024-05-08_0001559720-24-000017.htm",ABNB
0001559720-23-000020,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972023000020/abnb-20230930.htm,2023-11-01,abnb-20230930.htm,"sec_10q\ABNB\Airbnb, Inc.\2023_10-Q_2023-11-01_0001559720-23-000020.htm",ABNB
0001559720-23-000015,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972023000015/abnb-20230630.htm,2023-08-03,abnb-20230630.htm,"sec_10q\ABNB\Airbnb, Inc.\2023_10-Q_2023-08-03_0001559720-23-000015.htm",ABNB
0001559720-23-000010,0001559720,"Airbnb, Inc.",https://www.sec.gov/Archives/edgar/data/1559720/000155972023000010/abnb-20230331.htm,2023-05-09,abnb-20230331.htm,"sec_10q\ABNB\Airbnb, Inc.\2023_10-Q_2023-05-09_0001559720-23-000010.htm",ABNB
