word,coefficient,abs_coefficient
mobile,0.1207596347411029,0.1207596347411029
filed,0.07521556345192382,0.07521556345192382
software,0.07340570950084871,0.07340570950084871
risks relating,0.07244356638496174,0.07244356638496174
service,0.06914236545487039,0.06914236545487039
recent,0.06655906317126177,0.06655906317126177
profitability,0.06449540998474028,0.06449540998474028
affect results,0.06180958679990349,0.06180958679990349
russian,0.06021219991147691,0.06021219991147691
settlement,0.05925117193896206,0.05925117193896206
operations financial,0.05821199007325945,0.05821199007325945
66,0.056137200059324585,0.056137200059324585
august,0.05472070442287378,0.05472070442287378
imports,0.05360700200215246,0.05360700200215246
support,0.05264037556052133,0.05264037556052133
29,0.05241556451902814,0.05241556451902814
identify,0.05222578477642981,0.05222578477642981
condition operating,0.052163968461178226,0.052163968461178226
uncertainty,0.050382270719024305,0.050382270719024305
parties,0.04898355741382178,0.04898355741382178
performance,0.04802249378002321,0.04802249378002321
july,0.047099195624366416,0.047099195624366416
significant risks,0.04628365844409842,0.04628365844409842
issuer,0.044920986318396826,0.044920986318396826
end,0.04477137298723018,0.04477137298723018
internet,0.044655416826048046,0.044655416826048046
officer,0.04429910485223454,0.04429910485223454
contains,0.04408601261609581,0.04408601261609581
company business,0.04398908305857637,0.04398908305857637
ii item,0.04384656453492423,0.04384656453492423
personnel,0.04360160084296933,0.04360160084296933
adversely,0.04320132753146106,0.04320132753146106
financial performance,0.042972100753165744,0.042972100753165744
review,0.042615038454531594,0.042615038454531594
party,0.04181850213176905,0.04181850213176905
march,0.04094045609202701,0.04094045609202701
shares,0.04073784090922597,0.04073784090922597
materially affect,0.040501805296097926,0.040501805296097926
tax,0.03869654810719426,0.03869654810719426
forth report,0.03867680848892255,0.03867680848892255
level,0.03846168029642811,0.03846168029642811
circumstances,0.03833512222339651,0.03833512222339651
completed,0.03815414323715627,0.03815414323715627
2021,0.03781668455608283,0.03781668455608283
combination,0.03773100562392084,0.03773100562392084
users,0.037253821494492946,0.037253821494492946
facing,0.03700737115564987,0.03700737115564987
75,0.03698099561977849,0.03698099561977849
strategic acquisitions,0.03689618954437402,0.03689618954437402
business risks,0.036836541615489445,0.036836541615489445
june,0.03680958894827656,0.03680958894827656
privacy,0.036713739723661466,0.036713739723661466
impact results,0.036682846250257646,0.036682846250257646
attempt,0.03663260445146451,0.03663260445146451
taken,0.03657907506844006,0.03657907506844006
factors disclosed,0.036570698599962856,0.036570698599962856
factors discussed,0.0360480568395853,0.0360480568395853
remain,0.035900029250717405,0.035900029250717405
clients,0.03572645914132652,0.03572645914132652
reference,0.035298026220801235,0.035298026220801235
31,0.03507687405219302,0.03507687405219302
risks business,0.03487993251641155,0.03487993251641155
note,0.034563077732768725,0.034563077732768725
employees,0.03398382988478816,0.03398382988478816
utility,0.0338645589302197,0.0338645589302197
structure,0.03376940334787437,0.03376940334787437
tariffs,0.033249873427139046,0.033249873427139046
management,0.03322528689923972,0.03322528689923972
market price,0.03319951033102744,0.03319951033102744
channel partners,0.032313858635530726,0.032313858635530726
terminated,0.032173132284847625,0.032173132284847625
updates,0.03208098186490161,0.03208098186490161
mitigate,0.03192974928469538,0.03192974928469538
business opportunities,0.031891408147046815,0.031891408147046815
ended,0.03178743810177244,0.03178743810177244
policies,0.0317298131497346,0.0317298131497346
factors annual,0.03138727156438276,0.03138727156438276
common,0.03120237059718755,0.03120237059718755
operations business,0.031029214999666408,0.031029214999666408
contract,0.030893675170405054,0.030893675170405054
september 30,0.03087948115437048,0.03087948115437048
portfolio,0.030475595101544475,0.030475595101544475
concerning,0.030364229218263303,0.030364229218263303
results future,0.03035201339030141,0.03035201339030141
notes,0.03025045454016572,0.03025045454016572
litigation,0.030249450400112565,0.030249450400112565
adversely impact,0.03023045823891931,0.03023045823891931
50,0.030036026145694176,0.030036026145694176
april,0.029955169445455652,0.029955169445455652
adversely impacted,0.029814342627628356,0.029814342627628356
preferences,0.029806797876630688,0.029806797876630688
channel,0.029327061995328734,0.029327061995328734
extent,0.029170256602891444,0.029170256602891444
duties,0.029121186840235076,0.029121186840235076
future prospects,0.028831572672027517,0.028831572672027517
provisions,0.028813825675827395,0.028813825675827395
effect financial,0.028724100340640366,0.028724100340640366
achieve,0.028706967508072362,0.028706967508072362
parts,0.028617543338576367,0.028617543338576367
factors described,0.028546739210865348,0.028546739210865348
insurance,0.028480867503237257,0.028480867503237257
impairment,0.028415577237329993,0.028415577237329993
conflict,0.028307732320454606,0.028307732320454606
benefit,0.028120671126960557,0.028120671126960557
adoption,0.027455063604346998,0.027455063604346998
tariffs trade,0.027423360834466882,0.027423360834466882
issue,0.02727876601067614,0.02727876601067614
targeting,0.027239421332157954,0.027239421332157954
partner,0.027157699551096984,0.027157699551096984
segment,0.02709943656333347,0.02709943656333347
fiscal 2023,0.02681432311077734,0.02681432311077734
specific,0.026773834694870154,0.026773834694870154
candidates,0.026601568517099217,0.026601568517099217
present,0.02660150426754647,0.02660150426754647
success,0.026433095859715792,0.026433095859715792
duty,0.026397331000105016,0.026397331000105016
received,0.02629529926403836,0.02629529926403836
marketing,0.026200994546057604,0.026200994546057604
generation,0.02615783585639257,0.02615783585639257
55,0.026141265770485554,0.026141265770485554
consideration,0.026128825604681317,0.026128825604681317
imposes,0.025960112800180717,0.025960112800180717
material adverse,0.025930080629962608,0.025930080629962608
maintain,0.0258513728464229,0.0258513728464229
acquisitions,0.025419756123226823,0.025419756123226823
larger,0.02536726418060595,0.02536726418060595
state,0.025284672636584307,0.025284672636584307
issued,0.025102485511996352,0.025102485511996352
entitled,0.025077326678136416,0.025077326678136416
32,0.02492849693249512,0.02492849693249512
operations cash,0.02486385037494893,0.02486385037494893
november,0.02482851698912844,0.02482851698912844
annual report,0.024576074709941893,0.024576074709941893
possible,0.02455357701064639,0.02455357701064639
january,0.024453415242810916,0.024453415242810916
57,0.024396526749702455,0.024396526749702455
ii,0.024382385525167156,0.024382385525167156
68,0.024194577198863247,0.024194577198863247
banks,0.02405740619025477,0.02405740619025477
addition,0.023671181863158627,0.023671181863158627
covid,0.02367011075570628,0.02367011075570628
savings,0.023627544758205454,0.023627544758205454
expenses,0.023569149396104137,0.023569149396104137
technology infrastructure,0.023559799823739527,0.023559799823739527
gains,0.023375756423537425,0.023375756423537425
regulatory,0.023164961770127314,0.023164961770127314
risks,0.022923533924343098,0.022923533924343098
principal,0.022919703917228668,0.022919703917228668
holders,0.022830373844987612,0.022830373844987612
february,0.022802877839913135,0.022802877839913135
company annual,0.022785351471990803,0.022785351471990803
adverse impact,0.022650747179655553,0.022650747179655553
covid 19,0.022558639217103826,0.022558639217103826
real estate,0.022466658499583046,0.022466658499583046
reviews,0.02244889563538399,0.02244889563538399
42,0.022370875781535147,0.022370875781535147
operations subject,0.0222480532269649,0.0222480532269649
ultimately,0.022243271410384815,0.022243271410384815
independent,0.0221722119703218,0.0221722119703218
enacted,0.02212306619056423,0.02212306619056423
delaware,0.022115722219898375,0.022115722219898375
balance,0.022076332296021767,0.022076332296021767
connection,0.022003322486474408,0.022003322486474408
cases,0.02185900725410008,0.02185900725410008
rate,0.021763744163440932,0.021763744163440932
data protection,0.021702021534487477,0.021702021534487477
incentives,0.021700971937866895,0.021700971937866895
capacity,0.021699784753985752,0.021699784753985752
57 57,0.02166903394962995,0.02166903394962995
2024 form,0.021608342925398,0.021608342925398
measure,0.021550723768218625,0.021550723768218625
equipment,0.021520016118712487,0.021520016118712487
holdings,0.021503086091183374,0.021503086091183374
international,0.02145687048321611,0.02145687048321611
threat,0.02139768051885719,0.02139768051885719
vendors,0.021397404490346245,0.021397404490346245
number,0.021374375256607216,0.021374375256607216
demand products,0.0212913091339694,0.0212913091339694
court,0.02128195011988606,0.02128195011988606
legal regulatory,0.021250299066463103,0.021250299066463103
operating results,0.021200893416415827,0.021200893416415827
sellers,0.021134724601846948,0.021134724601846948
growth prospects,0.021103140224535896,0.021103140224535896
relationships customers,0.020975777507425495,0.020975777507425495
various factors,0.020945423329079723,0.020945423329079723
defaults,0.02091993044946133,0.02091993044946133
27,0.02090534233702342,0.02090534233702342
related costs,0.020825532350085996,0.020825532350085996
used,0.020662675037507117,0.020662675037507117
offering,0.020626137548228365,0.020626137548228365
incur additional,0.02053139956016215,0.02053139956016215
final,0.020518926594192143,0.020518926594192143
goodwill,0.02029787643826821,0.02029787643826821
receivables,0.02027696858657671,0.02027696858657671
infrastructure,0.02027607107687927,0.02027607107687927
expected benefits,0.0202417241868967,0.0202417241868967
purchases,0.020217976651406223,0.020217976651406223
divert,0.020201982014378127,0.020201982014378127
expect,0.020186349855582708,0.020186349855582708
forward,0.020065444742494214,0.020065444742494214
products services,0.020051188896195848,0.020051188896195848
near,0.020016050836752564,0.020016050836752564
69,0.020010629306057466,0.020010629306057466
material,0.01990394121085916,0.01990394121085916
50 50,0.01987251062093506,0.01987251062093506
policy,0.01981979025394958,0.01981979025394958
approved,0.019814986522186384,0.019814986522186384
sales,0.019812298505697486,0.019812298505697486
existence,0.01980234351202787,0.01980234351202787
adverse,0.019783723079786656,0.019783723079786656
meet,0.01975280173665966,0.01975280173665966
12,0.019746821867769607,0.019746821867769607
event,0.019694137903592323,0.019694137903592323
cost,0.019675764513016683,0.019675764513016683
expectations,0.019651081717386578,0.019651081717386578
execute,0.0196428396791198,0.0196428396791198
unknown,0.01963811323690811,0.01963811323690811
goals,0.019599955100718606,0.019599955100718606
impact financial,0.01956780498039233,0.01956780498039233
cloud,0.01955293019862364,0.01955293019862364
47,0.0195320534057013,0.0195320534057013
manufactured,0.019473137281904654,0.019473137281904654
transaction,0.019468219565575397,0.019468219565575397
15,0.019388544017821016,0.019388544017821016
operation,0.019375138341749,0.019375138341749
armed,0.01928581026078608,0.01928581026078608
platforms,0.01928344626694527,0.01928344626694527
ai technologies,0.019259430375089065,0.019259430375089065
russia,0.019231739717135335,0.019231739717135335
liabilities,0.01920682469261796,0.01920682469261796
practice,0.019197681487965867,0.019197681487965867
incur,0.019152893360509925,0.019152893360509925
estate,0.01908906265957787,0.01908906265957787
experience,0.019069872611322043,0.019069872611322043
scheduled,0.019016205906746977,0.019016205906746977
resources,0.018955078909876338,0.018955078909876338
manage,0.018914616088835975,0.018914616088835975
43 43,0.018907878328641225,0.018907878328641225
factor,0.018900442257529137,0.018900442257529137
carrying,0.01886659104001626,0.01886659104001626
discounts,0.018843279415727294,0.018843279415727294
reputation,0.018792048411461686,0.018792048411461686
announcement,0.018698614558567174,0.018698614558567174
firm,0.01869212534864822,0.01869212534864822
continued,0.01868063304743227,0.01868063304743227
reputation financial,0.018648887757949886,0.018648887757949886
partnerships,0.018614172281526457,0.018614172281526457
time,0.01849666844157472,0.01849666844157472
credits,0.018438978485752832,0.018438978485752832
improve,0.018351368216306393,0.018351368216306393
international trade,0.018341204753423622,0.018341204753423622
expected,0.01831588510437953,0.01831588510437953
business reputation,0.018310797875449925,0.018310797875449925
requirements,0.018261399809482184,0.018261399809482184
depending,0.018261323839675745,0.018261323839675745
70,0.01822701630446861,0.01822701630446861
pricing,0.018126773881262753,0.018126773881262753
income loss,0.01811391606990954,0.01811391606990954
refer,0.018051699293678405,0.018051699293678405
personal information,0.01802352327747479,0.01802352327747479
applicable,0.018012377042711848,0.018012377042711848
debt,0.0179861832980146,0.0179861832980146
acquire,0.017982810078536495,0.017982810078536495
net sales,0.017914071153575527,0.017914071153575527
defense,0.017816543752662624,0.017816543752662624
fail,0.017672363374466465,0.017672363374466465
depreciation,0.017670123389811988,0.017670123389811988
december 31,0.017657188674613078,0.017657188674613078
carefully consider,0.01762045974889416,0.01762045974889416
customers suppliers,0.017610951290556436,0.017610951290556436
wide,0.017566680031295127,0.017566680031295127
programs,0.01742859339874333,0.01742859339874333
protection,0.01740775090232811,0.01740775090232811
termination,0.017362310614512478,0.017362310614512478
regulations,0.017314494224635477,0.017314494224635477
business including,0.01728017622710817,0.01728017622710817
events,0.017245994341239024,0.017245994341239024
basis,0.017124872175917568,0.017124872175917568
priorities,0.017117733675692977,0.017117733675692977
newly,0.017041747653760594,0.017041747653760594
subsequent,0.016966364255667506,0.016966364255667506
planning,0.016906354284696622,0.016906354284696622
defined,0.01687995904346149,0.01687995904346149
depends,0.016832019469218217,0.016832019469218217
unrest,0.01682557038642957,0.01682557038642957
modifications,0.01679062889128081,0.01679062889128081
class,0.016779715525497188,0.016779715525497188
rise,0.016718274448075734,0.016718274448075734
adversely affect,0.016706163494097304,0.016706163494097304
implementation,0.01667625382082219,0.01667625382082219
multi,0.01667055295252585,0.01667055295252585
vehicles,0.016593331623822566,0.016593331623822566
previously,0.0165911765734915,0.0165911765734915
companies,0.016560889135723462,0.016560889135723462
timely basis,0.016552528911638786,0.016552528911638786
reliance,0.016497241466502867,0.016497241466502867
ventures,0.016470580036734444,0.016470580036734444
distributions,0.016399868566816394,0.016399868566816394
customers ability,0.016389623689442016,0.016389623689442016
sold,0.01633649914333126,0.01633649914333126
shares common,0.016306053077453215,0.016306053077453215
manufacturing,0.016264377385569097,0.016264377385569097
presence,0.016240962645588303,0.016240962645588303
remediation,0.016218780161230555,0.016218780161230555
increased costs,0.01617997282568174,0.01617997282568174
45,0.016164460425429645,0.016164460425429645
management attention,0.01609243643606938,0.01609243643606938
office,0.01608775698173042,0.01608775698173042
future performance,0.016042951672795833,0.016042951672795833
