word,coefficient,abs_coefficient
mobile,0.0966244477933109,0.0966244477933109
software,0.08104645476938788,0.08104645476938788
risks business,0.06822906689624501,0.06822906689624501
notes,0.06358773429762334,0.06358773429762334
service,0.055192691028935884,0.055192691028935884
settlement,0.05022687063047744,0.05022687063047744
users,0.04877442523919663,0.04877442523919663
adversely,0.04672736773540011,0.04672736773540011
profitability,0.04638674218872337,0.04638674218872337
july,0.045440307723516864,0.045440307723516864
support,0.044215968023080664,0.044215968023080664
recent,0.04389658610881696,0.04389658610881696
russian,0.04384047854181104,0.04384047854181104
november,0.04288873031779525,0.04288873031779525
risks relating,0.04217605502724324,0.04217605502724324
29,0.041115636561228096,0.041115636561228096
shares,0.040780524443036044,0.040780524443036044
parties,0.04026072672565728,0.04026072672565728
performance,0.03902012537030555,0.03902012537030555
operations financial,0.038955052486568234,0.038955052486568234
ii item,0.03817111838130205,0.03817111838130205
requirements,0.03680588350086981,0.03680588350086981
31,0.03651084282878941,0.03651084282878941
end,0.03618699935863175,0.03618699935863175
internet,0.035292326151628875,0.035292326151628875
party,0.034840630621810656,0.034840630621810656
condition operating,0.034463213793240244,0.034463213793240244
imports,0.03401816236972538,0.03401816236972538
regulatory,0.033632537390751345,0.033632537390751345
consideration,0.03324573144547543,0.03324573144547543
financial performance,0.031572325288687,0.031572325288687
results future,0.03147012082035997,0.03147012082035997
management,0.03132220783517005,0.03132220783517005
officer,0.03116654571810173,0.03116654571810173
structure,0.031073070293756895,0.031073070293756895
filed,0.030939795718207142,0.030939795718207142
privacy,0.030938440851648655,0.030938440851648655
company business,0.030805265161262366,0.030805265161262366
15,0.0305295539347358,0.0305295539347358
strategic acquisitions,0.0303926186281374,0.0303926186281374
specific,0.030177924814890383,0.030177924814890383
personnel,0.030016038110233186,0.030016038110233186
business opportunities,0.030002780397727365,0.030002780397727365
69,0.029703450709091347,0.029703450709091347
marketing,0.02922067205711593,0.02922067205711593
71,0.029130553540232428,0.029130553540232428
portfolio,0.028668690226269243,0.028668690226269243
tax,0.028480154848170906,0.028480154848170906
principal,0.02838234358826996,0.02838234358826996
future prospects,0.028276451067178916,0.028276451067178916
adversely affect,0.02823092305008303,0.02823092305008303
12,0.028213065747195953,0.028213065747195953
75,0.02820030568720802,0.02820030568720802
contains,0.02816298545878195,0.02816298545878195
court,0.028019918055314615,0.028019918055314615
protection,0.0279189358976995,0.0279189358976995
august,0.027893035856833243,0.027893035856833243
impact results,0.027643929296679016,0.027643929296679016
uncertainty,0.02758432702344317,0.02758432702344317
operations cash,0.02745819372747784,0.02745819372747784
43,0.027440357565784067,0.027440357565784067
updates,0.026960622480246745,0.026960622480246745
provisions,0.02692518542640051,0.02692518542640051
class,0.02669747303294819,0.02669747303294819
