word,coefficient,abs_coefficient
apps,0.1687345576923272,0.1687345576923272
23,0.0999930567110048,0.0999930567110048
clients,0.09021285554373426,0.09021285554373426
risks relating,0.08484655741307245,0.08484655741307245
march 2022,0.07664165097919434,0.07664165097919434
affect results,0.06898079471735759,0.06898079471735759
66,0.06786649088050577,0.06786649088050577
profitability,0.06745834510964904,0.06745834510964904
internet,0.06484204643930681,0.06484204643930681
15,0.06316224017957192,0.06316224017957192
filed,0.06293866444988025,0.06293866444988025
july,0.06281978522495106,0.06281978522495106
operations financial,0.06120633487922189,0.06120633487922189
service,0.060762230935546224,0.060762230935546224
tariffs,0.06005381847309082,0.06005381847309082
platforms,0.05871612218657503,0.05871612218657503
heading,0.05616028253091776,0.05616028253091776
settlement,0.05592517523797373,0.05592517523797373
mobile,0.0541360379113332,0.0541360379113332
materially affect,0.053820301567793355,0.053820301567793355
66 66,0.05325958111749871,0.05325958111749871
recent,0.05264335888178812,0.05264335888178812
significant risks,0.051144780081804585,0.051144780081804585
russian,0.050823414698771024,0.050823414698771024
tariffs trade,0.049864279827051085,0.049864279827051085
notes,0.04884489785302193,0.04884489785302193
completed,0.04854532748952837,0.04854532748952837
shares,0.04816670388550112,0.04816670388550112
software,0.04796659051199679,0.04796659051199679
september 30,0.047048973205869954,0.047048973205869954
10 risks,0.04626287266453029,0.04626287266453029
environment,0.04622491544999615,0.04622491544999615
condition operating,0.04528946695519109,0.04528946695519109
august,0.045164784172902976,0.045164784172902976
party,0.04498761495860905,0.04498761495860905
november,0.04423297182053607,0.04423297182053607
support,0.04374531178208589,0.04374531178208589
games,0.04314902276901432,0.04314902276901432
risks facing,0.04279421928103282,0.04279421928103282
factors disclosed,0.04278241939337568,0.04278241939337568
issuer,0.04217236998262019,0.04217236998262019
registrant,0.04149799686472557,0.04149799686472557
employees,0.04104604156498491,0.04104604156498491
independent,0.04090447336863757,0.04090447336863757
contains,0.040702822802577476,0.040702822802577476
officer,0.03994306076205778,0.03994306076205778
54,0.03943904322244841,0.03943904322244841
april,0.038750948887109046,0.038750948887109046
personnel,0.03874639280996579,0.03874639280996579
31,0.0386617134802727,0.0386617134802727
mitigate,0.03864761121403955,0.03864761121403955
results risks,0.03845740476154993,0.03845740476154993
ukraine,0.03813129805893517,0.03813129805893517
protect,0.03800807737135346,0.03800807737135346
refer,0.0378622693285807,0.0378622693285807
47,0.037845245275463985,0.037845245275463985
mitigate risks,0.03777888388779653,0.03777888388779653
tax,0.03762465972765375,0.03762465972765375
ratings,0.03726571384915258,0.03726571384915258
parties,0.03725208963996307,0.03725208963996307
65,0.03693166416173313,0.03693166416173313
client,0.036847062881200064,0.036847062881200064
real estate,0.036660509434103816,0.036660509434103816
55,0.036560998980198184,0.036560998980198184
factors addition,0.03647076801978744,0.03647076801978744
ip,0.03585284912413769,0.03585284912413769
april 30,0.03575604226791766,0.03575604226791766
estate,0.03568011733997579,0.03568011733997579
75,0.03551347047925661,0.03551347047925661
demand products,0.035443710537123974,0.035443710537123974
vendors,0.035438617115141145,0.035438617115141145
29,0.03514195544203162,0.03514195544203162
concerning,0.034278648080625834,0.034278648080625834
1a risk,0.033847721543750584,0.033847721543750584
50,0.03378458023530441,0.03378458023530441
specific,0.03330118649497182,0.03330118649497182
international,0.033245041944857695,0.033245041944857695
obligations,0.03300564975313649,0.03300564975313649
changes trade,0.03289569208679019,0.03289569208679019
match,0.03243462242362758,0.03243462242362758
policies including,0.03237984159157321,0.03237984159157321
agencies,0.032353199423085365,0.032353199423085365
risks,0.03230363192332967,0.03230363192332967
